School Name,Primary School,Physical Address,Postal Address,Email,Phone,Website,Management Name,Management Position,Management Email,Management Phone
Nhulunbuy Primary School,True,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022,http://www.nhulunbuyprimary.nt.edu.au/,Rachel Blundell,Principal,rachel.blundell@education.nt.gov.au,(08) 898 70022
Nhulunbuy Pre School,False,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",,(08) 8987 1056,,Rachel Blundell,Principal,rachel.blundell@education.nt.gov.au,(08) 898 70022
Nganmarriyanga School,True,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",jen.robson@education.nt.gov.au,(08) 8978 2380,http://www.nganmarriyangaschool.com,Jen Robson,Principal,jen.robson@education.nt.gov.au,(08) 8978 2380
Ngukurr School,True,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680,n/a,Dhanushka Papiliya,Business Manager,Dhanushka.Papiliya@education.nt.gov.au,(08) 897 25397
Ngukurr Pre School,False,"Bawuda St, Ngukurr, NT",", , , ",,(08) 8975 4680,,Dhanushka Papiliya,Business Manager,Dhanushka.Papiliya@education.nt.gov.au,(08) 897 25397
Nhulunbuy Christian School,True,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900,http://www.ncc.nt.edu.au/,tba tba,Principal,tba,8965 2900
Nhulunbuy High School,False,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844,n/a,Brad Madden,Principal,brad.madden@education.nt.gov.au,08 898 70844
Neutral Junction School,True,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au,(08) 8956 9754,n/a,Ruth Rawnsley,Principal,ruth.rawnsley@education.nt.gov.au,(08) 8956 9754
Newcastle Waters School,True,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",sabina.armstrong@education.nt.gov.au,(08) 8964 4566,n/a,Cheyenne Ellis,Business Manager,Cheyenne.Ellis@education.nt.gov.au,(08) 896 32065
Nganambala School,True,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001,n/a,Samuel Sailor,Principal,samuel.sailor@education.nt.gov.au,(08) 8978 2001
Nakara Pre School,False,"35 Nakara Tce, Nakara, NT",", , , ",,(08) 8927 9823,,Samuel Sailor,Principal,samuel.sailor@education.nt.gov.au,(08) 8978 2001
Nathalie Gorey Pre School,False,"80 Spearwood Rd, Alice Springs, NT",", , , ",,(08) 8952 1186,,Samuel Sailor,Principal,samuel.sailor@education.nt.gov.au,(08) 8978 2001
Nakara Primary School,True,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823,https://www.nakaraprimary.nt.edu.au,Lorraine Warnock,Business Manager,Lorraine.Warnock@education.nt.gov.au,(08) 8927 9823
Nawardekken Academy,False,"tba, tba, NT","tba, PO Box 37620 Winnellie  NT  0821, tba, NT",admin@nawarddeken.org.au,0429 136 102,tba,Olga Scholes,Principal,olga.scholes@nawarddeken.org.au,tba
Nemarluk School,True,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400,http://nemarlukschool.com.au,Virg Hughes,Principal,virg.hughes@education.nt.gov.au,(08) 898 50400
Murray Downs School,True,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",mitchell.valentine@education.nt.gov.au,(08) 8964 1951,n/a,Mitchell Valentine,Principal,mitchell.valentine@education.nt.gov.au,(08) 8964 1951
Mutitjulu School,True,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547,n/a,Trish Noy,Principal,trish.noy@education.nt.gov.au,(08) 8956 2547
Murrupurtiyanuwu Catholic Primary School,True,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986,http://www.mcsnt.catholic.edu.au/,Berkley Muldoon,Principal,berkley.muldoon@nt.catholic.edu.au,(08) 8978 3986
Mother Teresa Catholic Primary School,True,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,,Reuben Johnson,Principal,principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600
Moulden Pre School,False,"103 Bonson Tce, Moulden, NT",", , , ",,(08) 8930 5965,,Reuben Johnson,Principal,principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600
Mount Allan School,True,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au,(08) 8956 8860,n/a,Dowreen Lata,Principal,dowreen.lata@education.nt.gov.au,(08) 8956 8860
Moulden Primary School,True,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au,(08) 8930 5900,not available,Emma Rush,Business Manager,emma.rush@education.nt.gov.au,(08) 8930 5900
Mulga Bore School,True,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",sundayt.taite@education.nt.gov.au,(08) 8956 9824,n/a,Therese Townsend,Business Manager,therese.townsend@education.nt.gov.au,(08) 895 11637
Moil Pre School,False,"Moil Crescent, Moil, NT",", , , ",,(08) 898 37535,,Therese Townsend,Business Manager,therese.townsend@education.nt.gov.au,(08) 895 11637
Moil Primary School,False,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530,http://www.moilschool.nt.edu.au,Erin ranie,Principal,erin.ranie@education.nt.gov.au,(08) 898 37530
Minyerri School,True,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",theo.debeer@education.nt.gov.au,(08) 8975 9972,n/a,Theo De Beer,Principal,theo.debeer@education.nt.gov.au,(08) 8975 9972
Millner Pre School,False,"41 Sabine Rd, Millner, NT",", , , ",,(08) 792 30333,,Theo De Beer,Principal,theo.debeer@education.nt.gov.au,(08) 8975 9972
Milyakburra School,True,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",leah.carroll@education.nt.gov.au,(08) 8987 6084,n/a,Leah Carroll,Principal,leah.carroll@education.nt.gov.au,(08) 8987 6084
Millner Primary School,True,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333,http://www.millnerprimary.nt.edu.au,Megan Moss,Adminstration Manager,megan.moss@education.nt.gov.au,(08) 792 30333
Minyerri Pre School,False,"N/A, Minyerri (Hodgson Downs), NT",", , , ",,(08) 8975 9972,,Megan Moss,Adminstration Manager,megan.moss@education.nt.gov.au,(08) 792 30333
Mimik-Ga Centre,True,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900,n/a,Mark Mangohig,Principal,mark.mangohig@education.nt.gov.au,(08) 898 37900
Milkwood Steiner,True,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT",admin@milkwood.nt.edu.au,08 8947 0608,http://www.milkwood.nt.edu.au/,Netanela Mizrahi,Principal,principal@milkwood.nt.edu.au,(08) 8947 0608
Milingimbi School,True,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",adam.dicks1@education.nt.gov.au,(08) 8987 9902,n/a,Adam Dicks,Principal,adam.dicks1@education.nt.gov.au,(08) 8987 9902
Milikapiti School,True,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",gabrielle.field@education.nt.gov.au,(08) 8978 3960,n/a,Bev McGregor,Business Manager,bev.mcgregor@education.nt.gov.au,(08) 894 49281
Marrara Christian School,True,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000,http://www.mcc.nt.edu.au,Joel Van Bentum,Principal,joel.vanbentum@ntschools.net,8920 2000
Mapuru Yirralka College,False,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",debra.bateman@ntschools.net,(08) 8970 4996,tba,Debra Bateman,Principal,debra.bateman@ntschools.net,8970 4996
Mbunghara School,True,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503,n/a,Amanda Pehi,Principal,amanda.pehi@education.nt.gov.au,(08) 8956 8503
Mataranka School,True,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",jennifer.jenkins@education.nt.gov.au,(08) 8975 4543,n/a,Karita Thomas,Business Manager,katrina.thompson@education.nt.gov.au,(08) 897 25391
Middle Point School,True,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688,http://www.middlepointschool.nt.edu.au/,Stacey Marsh,Principal,Stacey.marsh@education.nt.gov.au,(08) 8988 1688
Manunda Terrace Pre School,False,"31 Manunda Tce, Karama, NT",", , , ",,(08) 899 77366,,Stacey Marsh,Principal,Stacey.marsh@education.nt.gov.au,(08) 8988 1688
Manunda Terrace Primary School,True,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366,https://www.manundaterraceprimaryschool.com/,Michael Kerr,Business Manager,michael.kerr@education.nt.gov.au,(08) 899 77366
Manyallaluk School,True,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438,n/a,Kimberley Lalim,Business Manager,kimberly.lalim1@education.nt.gov.au,(08) 897 25361
Malak Pre School,False,"45 Malak Cres, Malak, NT",", , , ",,(08) 899 77600,,Kimberley Lalim,Business Manager,kimberly.lalim1@education.nt.gov.au,(08) 897 25361
Maningrida College,True,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950,http://www.maningridacollege.nt.edu.au/,Dama Stride,Business Manager,dama.stride@education.nt.gov.au,(08) 8979 5950
Malak Primary School,True,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600,http://www.malakprimary.nt.edu.au,Haydon Staines,Principal,haydon.staines@education.nt.gov.au,(08) 899 77600
Mamaruni School,True,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",tracy.brislane@education.nt.gov.au,(08) 8979 0255,http://www.mamarunischool.nt.edu.au/,Tracy Brislane,Principal,tracy.brislane@education.nt.gov.au,(08) 8979 0255
Mackillop Catholic College,False,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757,www.mackillopnt.catholic.edu.au,Lucas Hurley,Principal,lucas.hurley@nt.catholic.edu.au,89305757
Ludmilla Primary School,True,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888,http://www.ludmillaprimary.nt.edu.au,Carol Putica,Principal,carol.putica@education.nt.gov.au,08 898 37888
MacFarlane Primary School,True,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700,http://www.macfarlaneprimary.nt.edu.au,Philip Russell,Principal,philip.russell@education.nt.gov.au,(08) 896 51700
MacFarlane Pre School,False,"Grevillea Rd, Katherine East, NT",", , , ",,(08) 8972 3069,,Philip Russell,Principal,philip.russell@education.nt.gov.au,(08) 896 51700
Ludmilla Pre School,False,"41 Bagot Rd, Ludmilla, NT",", , , ",,(08) 898 37889,,Philip Russell,Principal,philip.russell@education.nt.gov.au,(08) 896 51700
Ltyentye Apurte CEC,True,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",la.admin@nt.catholic.edu.au,(08) 8956 0937,http://www.lacecnt.catholic.edu.au,Justin Colley,Principal,justin.colley@nt.catholic.edu.au,89560937
Living Waters Lutheran School,True,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",living.waters@ntschools.net,(08) 8950 0700,http://www.livingwaterslutheranschool.nt.edu.au,Lisa Goldsworthy,Principal,lisa.goldsworthy@ntschools.net,08 89500700
Leanyer Primary School,True,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022,http://leanyerschool.nt.edu.au,Leah Crockford,Principal,leah.crockford@education.nt.gov.au,(08) 8927 4022
Leanyer Pre School,False,"114 Leanyer Dr, Leanyer, NT",", , , ",,(08) 8927 4022,,Leah Crockford,Principal,leah.crockford@education.nt.gov.au,(08) 8927 4022
Laynhapuy Homelands School,True,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",lhs.admin@ntschools.net,(08) 898 71224,n/a,Abigail White,Principal,abigail.white@education.nt.gov.au,(08) 898 71224
Larrakeyah Primary School,True,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211,http://www.larrakeyahprimary.nt.edu.au,Fathma Mauger,Principal,fathma.mauger@education.nt.gov.au,(08) 8981 3211
Larrakeyah Pre School,False,"3 Packard St, Larrakeyah, NT",", , , ",,(08) 8981 9091,,Fathma Mauger,Principal,fathma.mauger@education.nt.gov.au,(08) 8981 3211
Lajamanu School,True,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946,n/a,Kimberley Lalim,Business Manager,kimberley.lalim1@education.nt.gov.au,(08) 897 25361
Laramba School,True,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771,n/a,Michael Ryan,Principal,michael.ryan1@education.nt.gov.au,(08) 8956 8771
Larapinta Primary School,True,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155,http://www.larapintaprimary.nt.edu.au,Larapinta Primary,Adminstration Manager,larapinta.finance@education.nt.gov.au,(08) 895 85155
Larapinta Pre School,False,"22 Albrecht Dr, Alice Springs, NT",", , , ",,(08) 895 85145,,Larapinta Primary,Adminstration Manager,larapinta.finance@education.nt.gov.au,(08) 895 85155
Lajamanu Pre School,False,"N/A, Lajamanu (Hooker Ck), NT",", , , ",,(08) 89750 946,,Larapinta Primary,Adminstration Manager,larapinta.finance@education.nt.gov.au,(08) 895 85155
Kiana School,True,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",tba,(08) 8975 9820,,tba tba,Principal,tba,(08) 8975 9820
Kintore Street School,True,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888,n/a,Sally Lovering,Principal,sally.lovering@education.nt.gov.au,(08) 8973 3888
Kintore Street Pre School,False,"11 Kintore St, Katherine, NT",", , , ",,(08) 8973 3888,,Sally Lovering,Principal,sally.lovering@education.nt.gov.au,(08) 8973 3888
Katherine South Primary School,True,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au,(08) 8972 1277,https://www.katherinesouthprimary.nt.edu.au/,Amit Kundu,Principal,amit.kundu1@education.nt.gov.au,(08) 8972 1277
Katherine School Of The Air,True,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 896 51555,https://www.ksa.nt.edu.au/,Donna Bryant,Principal,donna.bryant1@education.nt.gov.au,(08) 896 51550
Katherine South Pre School,False,"Riverbank Drive, Katherine, NT",", , , ",,(08) 8972 1277,,Donna Bryant,Principal,donna.bryant1@education.nt.gov.au,(08) 896 51550
Katherine High School,False,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200,https://www.katherinehighschool.com.au/,Nick Lovering,Principal,nick.lovering@education.nt.gov.au,(08) 897 38201
Katherine Flexible Learning Centre,False,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT",tba,(08) 897 38200,n/a,Nick Lovering,Principal,nick.lovering@education.nt.gov.au,(08) 897 38201
Karama Primary School,True,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700,https://www.karamaschool.nt.edu.au/,Maria Albion,Principal,maria.albion@education.nt.gov.au,(08) 898 37700
Karama Pre School,False,"37 Livistona Rd, Karama, NT",", , , ",,(08) 898 37711,,Maria Albion,Principal,maria.albion@education.nt.gov.au,(08) 898 37700
Kalkaringi School,True,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au,(08) 896 51888,,Anne Saunders,Principal,anne.saunders@education.nt.gov.au,(08) 8965 1888
Kalkaringi Pre School,False,"Whitlam St, Kalkaringi (Wave hill), NT",", , , ",,(08) 8965 1888,,Anne Saunders,Principal,anne.saunders@education.nt.gov.au,(08) 8965 1888
Jingili Primary School,True,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555,http://www.jingiliprimary.nt.edu.au/,Andrea Thomas,Business Manager,andrea.thomas@education.nt.gov.au,(08) 898 37555
Jingili Preschool,False,"10 Jingili Tce, Jingili, NT",", , , ",,(08) 8985 3495,,Andrea Thomas,Business Manager,andrea.thomas@education.nt.gov.au,(08) 898 37555
Jilkminggan School,True,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896,n/a,Lyndie Watson,Principal,lyndie.watson@education.nt.gov.au,(08) 8975 4896
Jabiru Pre School,False,"40 Waterhouse Rd, Jabiru, NT",", , , ",,(08) 8938 3333,,Lyndie Watson,Principal,lyndie.watson@education.nt.gov.au,(08) 8975 4896
Ida Standley Pre School,False,"15 Parke Cres, Alice Springs, NT",", , , ",,(08) 8952 1040,,Lyndie Watson,Principal,lyndie.watson@education.nt.gov.au,(08) 8975 4896
Imanpa School,True,"N/A, Imanpa, NT","PMB 76, via Alice Springs, 0872, NT",steve.nankivell@education.nt.gov.au,(08) 8956 7483,n/a,Steve Nankivell,Principal,steve.nankivell@education.nt.gov.au,(08) 8956 7483
Jabiru Area School,True,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333,n/a,Amy Tambling,Principal,amy.tambling@education.nt.gov.au,(08) 8938 3333
Humpty Doo Primary School,True,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au,(08) 792 30400,tba,Carrie White,Principal,carrie.white@education.nt.gov.au,(08) 792 30400
Humpty Doo Pre School,False,"50 Freds Pass Rd, Humpty Doo, NT",", , , ",,(08) 792 30400,,Carrie White,Principal,carrie.white@education.nt.gov.au,(08) 792 30400
Howard Springs Primary School,True,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000,http://www.howardspringsprimary.nt.edu.au/,Narelle Dahl,Principal,narelle.dahl@education.nt.gov.au,(08) 8983 0001
Howard Springs Pre School,False,"295 Whitewood Rd, Howard Springs, NT",", , , ",,(08) 8983 0000,,Narelle Dahl,Principal,narelle.dahl@education.nt.gov.au,(08) 8983 0001
Holy Spirit Catholic School,True,"Gsell Street, Casuarina, NT","PO Box 40030, Casuarina, 0810, NT",paula.sellars@nt.catholic.edu.au,(08) 8927 3411,http://www.holyspiritnt.catholic.edu.au/,Paula Sellars,Principal,paula.sellars@nt.catholic.edu.au,08 89273411
Henbury School,False,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au,(08) 899 77077,http://www.henburyschool.org.au/,Sarah Corry,Principal,sarah.corry@education.nt.gov.au,(08) 899 77077
Holy Family Catholic School,True,"Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT",admin.holyfamily@nt.catholic.edu.au,(08) 89276188,http://www.holyfamilynt.catholic.edu.au/,Michelle Garbutt,Principal,michelle.garbutt@nt.catholic.edu.au,08 89276188
Harts Range School,True,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",kylie.mckay@education.nt.gov.au,(08) 8956 9771,n/a,Kylie McKay,Principal,kylie.mckay@education.nt.gov.au,(08) 8956 9771
Haileybury Rendall School,False,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",hrs.admin@haileybury.com.au,(08) 8922 1611,http://www.haileyburyrendall.com.au,Andrew McGregor,Principal,andrew.mcgregor@haileybury.com.au,(08) 8922 1611
Gunbalanya School,True,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au,(08) 8979 0181,http://www.gunbalanyaschool.nt.edu.au/,Sue Trimble,Principal,sue.trimble@education.nt.gov.au,(08) 8979 0181
Haasts Bluff School,True,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au,(08) 8956 8550,n/a,Geoff Gillman,Principal,geoff.gillman@education.nt.gov.au,(08) 8956 8550
Gunbalanya Pre School,False,"N/a, Gunbalanya, NT",", , , ",,(08) 8979 0181,,Geoff Gillman,Principal,geoff.gillman@education.nt.gov.au,(08) 8956 8550
Gray Primary School,True,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au,(08) 8932 1700,http://www.grayprimary.nt.edu.au,Donna Westaway,Principal,donna.poetschka@education.nt.gov.au,(08) 8932 1700
Gray Pre School,False,"22 Victoria Dr, Gray, NT",", , , ",,(08) 8932 1700,,Donna Westaway,Principal,donna.poetschka@education.nt.gov.au,(08) 8932 1700
Good Shepherd Lutheran School,True,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300,http://www.goodshepherd.nt.edu.au,Matthew Qualischefski,Principal,matthew.q@ntschools.net,08 89830300
Good Shepherd Lutheran College,True,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,08 89830300,http://www.goodshepherd.nt.edu.au,Matthew Qualischefski,Principal,matthew.q@ntschools.net,8983 0300
Girraween Primary School,True,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au,(08) 8983 3300,http://www.girraweenprimary.nt.edu.au/,Megan McKenzie,Principal,megan.mckenzie@education.nt.gov.au,(08) 8983 3300
Good Shepherd - Leanyer Campus,True,"94 Leanyer Drive, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300,http://www.goodshepherd.nt.edu.au,Matthew Qualischefski,Principal,matthew.q@ntschools.net,(08) 8983 0333
Gillen Primary School,True,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au,(08) 895 52155,http://www.gillenprimary.nt.edu.au/,Donna O'Brien,Principal,donna.obrien@education.nt.gov.au,(08) 895 52155
Girraween Pre School,False,"25 Carruth Rd, Girraween, NT",", , , ",,(08) 8983 3300,,Donna O'Brien,Principal,donna.obrien@education.nt.gov.au,(08) 895 52155
Gillen Pre School,False,"12 Newland St, Alice Springs, NT",", , , ",,(08) 8952 2355,,Donna O'Brien,Principal,donna.obrien@education.nt.gov.au,(08) 895 52155
Gawa Christian School,True,"Community ID 508, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT",admin.gcs@ntschools.net,8970 5212,not available,Lara Hvala,Principal,lara.hvala@ntschools.net,8970 5212
Gapuwiyak School,True,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",christopher.oneill@education.nt.gov.au,(08) 8987 9122,n/a,Jodi-anne Williamson,Business Manager,busmanager.gapuwiyak@education.nt.gov.au,
Gapuwiyak Pre School,False,"N/A, Gapuwiyak, NT",", , , ",,(08) 8987 9122,,Jodi-anne Williamson,Business Manager,busmanager.gapuwiyak@education.nt.gov.au,
Forrest Parade School,False,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au,(08) 899 77111,https://forrestparadeschool.nt.edu.au/wp/,Annie Keighran,Principal,annie.keighran@education.nt.gov.au,(08) 899 77101
Finke School,True,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au,(08) 8956 0960,n/a,Nanci Morrison,Principal,nanci.morrison@education.nt.gov.au,(08) 8956 0960
The Essington International School Darwin,True,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au,(08) 8985 0100,http://www.essington.nt.edu.au,Karen Rohrs,Principal,Karen.Rohrs@essington.nt.edu.au,8985 0100
Families as First Teachers,True,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT",faft.doe@education.nt.gov.au,(08) 899 93550,n/a,Karen Rohrs,Principal,Karen.Rohrs@essington.nt.edu.au,8985 0100
Epenarra School,True,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512,n/a,Jennifer Cadzow,Principal,jennifer.cadzow@education.nt.gov.au,(08) 8964 1512
Elliott School,True,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2122,n/a,Kevin Gaskin,Principal,kevin.gaskin@education.nt.gov.au,(08) 8969 2122
Durack Primary School,True,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555,http://www.durackschool.nt.edu.au,Cindy McLaren,Principal,Cindy.McLaren@education.nt.gov.au,(08) 899 77555
Durack Pre School,False,"50 Woodlake Blvd, Durack, NT",", , , ",,(08) 899 77555,,Cindy McLaren,Principal,Cindy.McLaren@education.nt.gov.au,(08) 899 77555
